id,timestamp,amount,balance,change,action,initiator_name
66499,04/20/26 17:20:28,500000,72113834,"-500,000",WITHDRAW,tranDvhoa1
66386,04/20/26 16:26:27,100000,72613834,"-100,000",WITHDRAW,tranDvhoa1
65980,04/20/26 12:35:30,306000,72713834,"+306,000",DEPOSIT,Bank Interest
64887,04/18/26 19:28:41,500,72407834,-500,WITHDRAW,tranDvhoa1
64861,04/18/26 19:19:36,306000,72408334,"+306,000",DEPOSIT,Bank Interest
64380,04/18/26 14:25:17,1043993,72102334,"+1,043,993",DEPOSIT,tranDvhoa1
64329,04/18/26 13:49:23,48273888,71058341,"+48,273,888",DEPOSIT,tranDvhoa1
64184,04/18/26 12:14:50,300,22784452,-300,WITHDRAW,tranDvhoa1
64114,04/17/26 21:23:47,429248,22784752,"+429,248",DEPOSIT,tranDvhoa1
64047,04/17/26 20:30:58,2000,22355504,"-2,000",WITHDRAW,tranDvhoa1
64004,04/17/26 20:02:46,200,22357504,-200,WITHDRAW,tranDvhoa1
63983,04/17/26 19:52:51,1000,22357704,"-1,000",WITHDRAW,tranDvhoa1
63982,04/17/26 19:44:45,10000000,22358704,"-10,000,000",WITHDRAW,tranDvhoa1
63945,04/17/26 19:16:34,54,32358704,-54,WITHDRAW,tranDvhoa1
63910,04/17/26 18:51:53,378286,32358758,"+378,286",DEPOSIT,tranDvhoa1
63833,04/17/26 13:35:23,1400000,31980472,"-1,400,000",WITHDRAW,tranDvhoa1
63832,04/17/26 13:27:36,450000,33380472,"-450,000",WITHDRAW,tranDvhoa1
63831,04/17/26 13:23:42,500000,33830472,"-500,000",WITHDRAW,tranDvhoa1
63830,04/17/26 13:16:13,11578496,34330472,"+11,578,496",DEPOSIT,tranDvhoa1
63829,04/17/26 12:19:20,22000,22751976,"-22,000",WITHDRAW,tranDvhoa1
63828,04/17/26 12:16:40,25000,22773976,"-25,000",WITHDRAW,tranDvhoa1
63827,04/17/26 12:12:27,306000,22798976,"+306,000",DEPOSIT,Bank Interest
63761,04/16/26 18:03:10,3000000,22492976,"-3,000,000",WITHDRAW,tranDvhoa1
63760,04/16/26 17:31:48,25000,25492976,"-25,000",WITHDRAW,tranDvhoa1
63759,04/16/26 17:31:44,5,25517976,+5,DEPOSIT,tranDvhoa1
63758,04/16/26 17:29:38,2365908,25517971,"+2,365,908",DEPOSIT,tranDvhoa1
